business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Amrit Pharmacy AIIMS Kalyani (OPD),Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 33 2999 1551,N/A,2.3,,"NH-34 Connector Basantapur Saguna, Kalyani, West Bengal 741245",741246,22.9712064,88.5264514,ChIJP259vOy_-DkR0E5dwPmlaLw,https://www.google.com/maps/place/?q=place_id:ChIJP259vOy_-DkR0E5dwPmlaLw,part_332,2026-09-20 20:17:38,1751
MANIK MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,,,"XG9J+6CC, Rina Rd, Basantapur, Haringhata Farm, West Bengal 741246",741246,22.9680739,88.53102179999999,ChIJ--uNDBO_-DkRTg0IvgprhYE,https://www.google.com/maps/place/?q=place_id:ChIJ--uNDBO_-DkRTg0IvgprhYE,part_332,2026-09-20 20:17:38,1752
Kundan Pharmacy,Medical Store / Pharmacy,Oriental medicine store,Oriental medicine store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 90024 93994,N/A,4.4,,"XGVW+G57, Birohi, Shitalatala, West Bengal 741245",Birohi,22.9937947,88.5454336,ChIJT0_pG-y_-DkRSVpXD9On4l4,https://www.google.com/maps/place/?q=place_id:ChIJT0_pG-y_-DkRSVpXD9On4l4,part_332,2026-09-20 20:17:38,1753
Galaxy Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,5.0,,"XG9J+64Q, Haringhata Farm, West Bengal 741246",741246,22.968127199999998,88.5304264,ChIJ656uRAC_-DkRnkHqh4icp3M,https://www.google.com/maps/place/?q=place_id:ChIJ656uRAC_-DkRnkHqh4icp3M,part_332,2026-09-20 20:17:38,1754
Seba Nikatan Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 96790 54999,N/A,,,"NA, Haringhata Dakghor, West Bengal 741249",741246,22.986316199999997,88.5463607,ChIJn6PkJtq_-DkRCySITD9kjTE,https://www.google.com/maps/place/?q=place_id:ChIJn6PkJtq_-DkRCySITD9kjTE,part_332,2026-09-20 20:17:38,1755
Ms Kamal Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91441 00771,N/A,4.8,,"AIIMS Rd, near AIIMS Hospital, Aiims, Kalyani, Basantapur, West Bengal 741246",Aiims,22.9684806,88.5259947,ChIJgzHZwmO_-DkRrAmRnol9JSA,https://www.google.com/maps/place/?q=place_id:ChIJgzHZwmO_-DkRrAmRnol9JSA,part_332,2026-09-20 20:17:38,1756
Health Clinic (Dr. Bagbul Haque),Medical Store / Pharmacy,Homeopathic pharmacy,Homeopathic pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,3.0,,"XGVW+9Q4, Uttar Rajapur - Birohi Rd, Birohi, Shitalatala, West Bengal 741245",Birohi,22.993383299999998,88.5469418,ChIJCbZiare_-DkRvZ23CsfDkIM,https://www.google.com/maps/place/?q=place_id:ChIJCbZiare_-DkRvZ23CsfDkIM,part_332,2026-09-20 20:17:38,1757
Swastik medicine 2,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97480 87379,N/A,3.0,,"Kalyani, near AIIMS Kalyani Road, Basantapur, West Bengal 741246",741246,22.9683761,88.5261264,ChIJwW05bAC_-DkRl_sy46TWyUI,https://www.google.com/maps/place/?q=place_id:ChIJwW05bAC_-DkRl_sy46TWyUI,part_332,2026-09-20 20:17:38,1758
মেসাস নদীয়া মেডিকেল,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,,,"XG9H+69H, Rina Rd, Basantapur, Haringhata Farm, West Bengal 741246",741246,22.9680635,88.5284935,ChIJp8M-jBK_-DkRgpAZH_ADeNg,https://www.google.com/maps/place/?q=place_id:ChIJp8M-jBK_-DkRgpAZH_ADeNg,part_332,2026-09-20 20:17:38,1759
Maa Durga Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 81161 23966,N/A,5.0,,"Kalyani Iiser Gate, near Iiser Gate Iiser Gate, Kanchrapara, Haringhata Farm, West Bengal 741246",741246,22.9679856,88.5309367,ChIJUXYj9Sq_-DkRUeXt6YVDgIM,https://www.google.com/maps/place/?q=place_id:ChIJUXYj9Sq_-DkRUeXt6YVDgIM,part_332,2026-09-20 20:17:38,1760
Sri Guru Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98323 27770,N/A,3.0,,"XH4C+4M9, ROY ROAD, Haringhata - Birohi Rd, Haringhata, West Bengal 741249",741246,22.955278399999997,88.57173759999999,ChIJt_aQb9y4-DkRAAAAMAdXlyE,https://www.google.com/maps/place/?q=place_id:ChIJt_aQb9y4-DkRAAAAMAdXlyE,part_332,2026-09-20 20:17:38,1761
Basundhara Medcal Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 96799 97676,N/A,5.0,,"Kalyani, near AIIMS Kalyani Road, Aiims, Basantapur, West Bengal 741246",Aiims,22.9684653,88.5258344,ChIJocQwPdu_-DkRSNsCEj6KBNc,https://www.google.com/maps/place/?q=place_id:ChIJocQwPdu_-DkRSNsCEj6KBNc,part_332,2026-09-20 20:17:38,1762
MEDICINE CORNER,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 99324 86557,N/A,,,"NH 12, near Aims Hospital, Haringhata, Haringhata Farm, West Bengal 741246",741246,22.9685056,88.5278404,ChIJcY4fmNq_-DkRUuv6KhfcCxg,https://www.google.com/maps/place/?q=place_id:ChIJcY4fmNq_-DkRUuv6KhfcCxg,part_332,2026-09-20 20:17:38,1763
NIRODA PHARMACY,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,,,"XG9J+749, Rina Rd, Basantapur, Haringhata Farm, West Bengal 741246",741246,22.9681551,88.5303517,ChIJO49ZBBO_-DkR_X-YD805OUU,https://www.google.com/maps/place/?q=place_id:ChIJO49ZBBO_-DkR_X-YD805OUU,part_332,2026-09-20 20:17:38,1764
বিরহী মেডিকেল (Birohi Medical),Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,,,"XGVW+9MC, Birohi, Shitalatala, West Bengal 741245",Birohi,22.9934422,88.54652639999999,ChIJLdqKOgC_-DkRwH76sts94nw,https://www.google.com/maps/place/?q=place_id:ChIJLdqKOgC_-DkRwH76sts94nw,part_332,2026-09-20 20:17:38,1765
DAVAINDIA PHARMACY,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,5.0,,"WGVM+84W, Mohanpur, Manpur, West Bengal 741252",Mohanpur,22.9433892,88.532889,ChIJhxu_FgC_-DkR0j9RKSsYcjA,https://www.google.com/maps/place/?q=place_id:ChIJhxu_FgC_-DkR0j9RKSsYcjA,part_332,2026-09-20 20:17:38,1766
Ghosh Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91441 00706,N/A,3.8,,"Basantapur Road, Market, near AIIMS Hospital, Basantapur, Kanchrapara, West Bengal 741246",741246,22.9685059,88.5261101,ChIJkw1Dboq_-DkRT1394Fq6U5g,https://www.google.com/maps/place/?q=place_id:ChIJkw1Dboq_-DkRT1394Fq6U5g,part_332,2026-09-20 20:17:38,1767
Apollo pharmacy AIIMS Kalyani,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Baby store, Health and beauty shop, Herbal medicine store, Medical equipment supplier",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 79 4284 6123,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.1,,"7, Rina Rd, near Bhola baba Mandir, Haringhata Farm, West Bengal 741246",741246,22.9679191,88.5297731,ChIJ90MfCZC_-DkRKDveU_dpFE8,https://www.google.com/maps/place/?q=place_id:ChIJ90MfCZC_-DkRKDveU_dpFE8,part_332,2026-09-20 20:17:38,1768
New Haringhata Medical Store Dr DWAIPAYAN Sarathi Chakraborty Haringhata Chamber,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 99335 84714,N/A,4.3,13.0,"XH6C+43V, Haringhata bus stand, Haringhata, West Bengal 741249",741246,22.960369999999998,88.5701856,ChIJcSvFvcS4-DkRi9Nbgf7ERFI,https://www.google.com/maps/place/?q=place_id:ChIJcSvFvcS4-DkRi9Nbgf7ERFI,part_332,2026-09-20 20:17:39,1769
M/S Health Care Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 87591 63028,N/A,5.0,3.0,"Xh6C+66X, 1, Haringhata, Kolkata, West Bengal 741249",741246,22.9605659,88.5706249,ChIJNSh8mMS4-DkRfG70cc09mpU,https://www.google.com/maps/place/?q=place_id:ChIJNSh8mMS4-DkRfG70cc09mpU,part_332,2026-09-20 20:17:39,1770
RADHA MEDICAL,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 94750 96956,N/A,4.0,5.0,"near Barajaguli Post Office, Dighapara, West Bengal 741221",741246,22.9456579,88.54216079999999,ChIJQTiRtNi--DkRWbbL0PRdb1c,https://www.google.com/maps/place/?q=place_id:ChIJQTiRtNi--DkRWbbL0PRdb1c,part_332,2026-09-20 20:17:39,1771
Frankross Pharmacy Haringhata,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 90731 90260,N/A,4.2,28.0,"SUBARNAPUR ,HARINGHATA,DAG NO-1300 KH-2936,JAL NO-44,WORD NO-01 GROUND FLOOR, Ganguria, West Bengal 741249",741246,22.961147,88.57115879999999,ChIJjcFmGTy5-DkRwG93QjIsb4w,https://www.google.com/maps/place/?q=place_id:ChIJjcFmGTy5-DkRwG93QjIsb4w,part_332,2026-09-20 20:17:39,1772
Care And Cure Homoeo Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91434 37246,https://careandcurehomoeohall.website3.me/,4.8,13.0,"Shop No-1 Subarnapur, Haringhata, West Bengal 741249",741246,22.9534247,88.57460669999999,ChIJQ3tczWS5-DkRzcqUo72WC1Q,https://www.google.com/maps/place/?q=place_id:ChIJQ3tczWS5-DkRzcqUo72WC1Q,part_332,2026-09-20 20:17:39,1773
MOUSUMI PHARAMCY,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97337 48160,N/A,5.0,3.0,"Basantapur, West Bengal 741246",741246,22.969482799999998,88.5218969,ChIJKy1mRAu_-DkRJgEBLhq3dQo,https://www.google.com/maps/place/?q=place_id:ChIJKy1mRAu_-DkRJgEBLhq3dQo,part_332,2026-09-20 20:17:39,1774
City Medicare,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 84200 94427,N/A,5.0,1.0,"NA, Haringhata, Subarnapur, West Bengal 741249",741246,22.959990899999998,88.57117749999999,ChIJawS97725-DkRzBF4Wm0OOYc,https://www.google.com/maps/place/?q=place_id:ChIJawS97725-DkRzBF4Wm0OOYc,part_332,2026-09-20 20:17:39,1775
Santiram Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,3.8,,"Simurali - Brahma Para Rd, Chakdaha, West Bengal 741248",741246,23.040107,88.51092469999999,ChIJpbFJGVPA-DkRTmjwrYC2SWE,https://www.google.com/maps/place/?q=place_id:ChIJpbFJGVPA-DkRTmjwrYC2SWE,part_332,2026-09-20 20:17:40,1776
Anupam Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 94332 76397,N/A,4.2,,"162, B-10 Diagonal Rd, B 10, Block B, Kalyani, West Bengal 741235","B 10, Block B",22.974246299999997,88.43680959999999,ChIJ3WI9wN6U-DkRcwen0Me2B8s,https://www.google.com/maps/place/?q=place_id:ChIJ3WI9wN6U-DkRcwen0Me2B8s,part_332,2026-09-20 20:17:40,1777
Lila Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97341 68584,N/A,4.3,,"Duttafulia Helencha Rd, Duttapulia, West Bengal 741504",741246,23.2349957,88.70759369999999,ChIJDYrSaH_R-DkRoYz-MnNO_Ng,https://www.google.com/maps/place/?q=place_id:ChIJDYrSaH_R-DkRoYz-MnNO_Ng,part_332,2026-09-20 20:17:40,1778
Ananya drugs house,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 95477 92570,N/A,4.0,,"2GMP+F78, Rautari, Chakdaha, West Bengal 741248",741246,23.033667899999998,88.5357137,ChIJR4svDOfA-DkRZsOuwGYBGzA,https://www.google.com/maps/place/?q=place_id:ChIJR4svDOfA-DkRZsOuwGYBGzA,part_332,2026-09-20 20:17:40,1779
CPT Co-operative Medicine Shop,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 3224 263 564,N/A,4.2,,"23C6+XRG, Haldia, West Bengal 721607",741246,22.022438599999997,88.06206379999999,ChIJH_eBlm_6AjoR5hfENeLq_Qs,https://www.google.com/maps/place/?q=place_id:ChIJH_eBlm_6AjoR5hfENeLq_Qs,part_332,2026-09-20 20:17:40,1780
Jay Pharmacy,Medical Store / Pharmacy,Homeopathic pharmacy,Homeopathic pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 93321 96904,N/A,3.8,,"5H93+2WC, Jogpur Rd, Ranaghat, Satigachha, West Bengal 741201",741246,23.167567299999998,88.5547654,ChIJN-xG0ljD-DkRh0X3xnFsLCw,https://www.google.com/maps/place/?q=place_id:ChIJN-xG0ljD-DkRh0X3xnFsLCw,part_332,2026-09-20 20:17:40,1781
JB MEDICINE DISTRIBUTOR,Medical Store / Pharmacy,Wholesale drugstore,Wholesale drugstore,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98002 86131,N/A,4.8,6.0,"natun, Betai, para, West Bengal 741163",741246,23.814069099999998,88.5623023,ChIJkwcCeWJH-TkReV_zLV29fIU,https://www.google.com/maps/place/?q=place_id:ChIJkwcCeWJH-TkReV_zLV29fIU,part_332,2026-09-20 20:17:41,1782
davaindia Generic Pharmacy,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store, Health food store, Herbal medicine store, Medical supply store, Pharmaceutical company, Vitamin & supplements store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 84200 41950,https://bhanumatiroad-nadia.davaindia.com/,4.5,2.0,"No. A9/156, Bhanumati Rd, near J.M Carnival Hospital, A 9, A1, Block A9, Block A, Kalyani, West Bengal 741235","A 9, A1, Block A9, Block A",22.9689673,88.4649778,ChIJy7bcsmGV-DkRh1zupFhPVUs,https://www.google.com/maps/place/?q=place_id:ChIJy7bcsmGV-DkRh1zupFhPVUs,part_332,2026-09-20 20:17:41,1783
Apollo Pharmacy Birnagar,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store, Medical equipment supplier, Sports nutrition store, Surgical supply store, Vitamin & supplements store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 79 4281 4672,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,4.7,54.0,"No. 185, Birnagar Rail Station Rd, Birnagar, West Bengal 741127",741246,23.2372172,88.5525689,ChIJFUYu6FxVHToRm_9j8aXb3i0,https://www.google.com/maps/place/?q=place_id:ChIJFUYu6FxVHToRm_9j8aXb3i0,part_332,2026-09-20 20:17:41,1784
Gayeshpur Medical Hall,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 90731 36465,N/A,4.5,17.0,"GOAL BAZAR, Gayeshpur, West Bengal 741234",741246,22.9569883,88.4945824,ChIJMW3pvsi_-DkRt_AhFcXWYtY,https://www.google.com/maps/place/?q=place_id:ChIJMW3pvsi_-DkRt_AhFcXWYtY,part_332,2026-09-20 20:17:41,1785
Rajesh Medical & Company,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91637 52222,https://rajeshmedical.in/,1.0,1.0,"Shop No 7, Barasat Knc Road, Railway, Barasat Station Rd, near Barasat, Kolkata, West Bengal 700124","Katgola, Banamalipur",22.7232928,88.484039,ChIJ106Y1A6i-DkRaRxDTC-7PQQ,https://www.google.com/maps/place/?q=place_id:ChIJ106Y1A6i-DkRaRxDTC-7PQQ,part_332,2026-09-20 20:17:41,1786
Dey's Medical Hall,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Surgical Products Wholesaler",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 86173 24399,N/A,4.7,50.0,"Municipality More, Rabindra Nath Tagore Rd, Krishnanagar, West Bengal 741101",741246,23.408138899999997,88.49644169999999,ChIJH3GWVjgg-TkRBTZomO1XqUk,https://www.google.com/maps/place/?q=place_id:ChIJH3GWVjgg-TkRBTZomO1XqUk,part_332,2026-09-20 20:17:41,1787
SUCHANA MEDICAL,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 97330 57727,N/A,4.7,11.0,"NA VILL BHUPATINAGAR PO BHUPATINAGAR PS BHUPATINAGAR DIST PURBA MEDINIPUR PIN 721425, near HOSPITAL, East, Midnapore, West Bengal 721425",East,22.0019298,87.7273654,ChIJa9qcAObaAjoRTXq5PWoOpI8,https://www.google.com/maps/place/?q=place_id:ChIJa9qcAObaAjoRTXq5PWoOpI8,part_332,2026-09-20 20:17:41,1788
Daisy Medicine Shop,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 75858 22633,https://www.daisymedicineshop.com/,4.6,300.0,"Cinema House Ln, beside custom office, Krishnanagar, West Bengal 741101",741246,23.407216599999998,88.4931168,ChIJeTH8zzsg-TkRbElbCXRdRoc,https://www.google.com/maps/place/?q=place_id:ChIJeTH8zzsg-TkRbElbCXRdRoc,part_332,2026-09-20 20:17:41,1789
Swadesh Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 83369 71218,https://swadeshmedical.com/,3.8,86.0,"Bangaon - Kulpi Rd, Ghoshpara Station Rd, B 9, B9, Block B, Kalyani, West Bengal 741235","B 9, B9, Block B",22.977064199999997,88.4361189,ChIJuy21QtmU-DkR8Sg4TmkacTc,https://www.google.com/maps/place/?q=place_id:ChIJuy21QtmU-DkR8Sg4TmkacTc,part_332,2026-09-20 20:17:41,1790
Debnath Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,4.9,7.0,"9GJ4+R8P, Kabiguru Rd, Saktinagar, Krishnanagar, West Bengal 741102",Saktinagar,23.382097899999998,88.5058392,ChIJ76iepxgh-TkRE-BvHTGQ-Zs,https://www.google.com/maps/place/?q=place_id:ChIJ76iepxgh-TkRE-BvHTGQ-Zs,part_332,2026-09-20 20:17:41,1791
Apollo Pharmacy N.H Connector,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 79 4281 2758,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,3.8,60.0,"No. 631, Plassey - Kaliganj Rd, Mira Bazar, Plassey, West Bengal 741156","Mira Bazar, Plassey",23.7769154,88.28049209999999,ChIJK0TQExtz-TkRxp5HR_Uszig,https://www.google.com/maps/place/?q=place_id:ChIJK0TQExtz-TkRxp5HR_Uszig,part_332,2026-09-20 20:17:41,1792
Paul Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,4.6,53.0,"NH 12, Bethuadahari, West Bengal 741126",741246,23.6115395,88.3826564,ChIJCyTfAeAQ-TkRWiwKBzIWQQU,https://www.google.com/maps/place/?q=place_id:ChIJCyTfAeAQ-TkRWiwKBzIWQQU,part_332,2026-09-20 20:17:41,1793
Sandeep Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,N/A,N/A,4.8,,"4GHW+MGF, Pritinagar Rd Number 2, Pritinagar, Payradanga, West Bengal 741247",Pritinagar,23.1291928,88.5463061,ChIJsZ569CHD-DkRzyfDpNNtFvk,https://www.google.com/maps/place/?q=place_id:ChIJsZ569CHD-DkRzyfDpNNtFvk,part_332,2026-09-20 20:18:26,7601
Health Care Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,+91 62976 15327,N/A,5.0,,"Payradanga Main Rd, , Pritinagar Bazar,near Post offce Payradanga, Ranaghat, Chakdaha, West Bengal 741247",741247,23.1296487,88.5450173,ChIJvUQli1jD-DkRN32gVyGX6a0,https://www.google.com/maps/place/?q=place_id:ChIJvUQli1jD-DkRN32gVyGX6a0,part_332,2026-09-20 20:18:26,7602
Healthbuddy Nayam Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,N/A,http://www.sastasundar.com/,5.0,,"Main Road, Parbatipur, Ranaghat, West Bengal 741247",741247,23.1293529,88.5428719,ChIJY5zwqgrD-DkRpZfxt8LZcuU,https://www.google.com/maps/place/?q=place_id:ChIJY5zwqgrD-DkRpZfxt8LZcuU,part_332,2026-09-20 20:18:26,7603
JAGADA MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,+91 91538 47004,N/A,4.0,,"4GHW+4FC, Nadia, Pritinagar, Payradanga, West Bengal 741247","Nadia, Pritinagar",23.1278099,88.5461339,ChIJKfY2xZrD-DkRwUHILnfMHFw,https://www.google.com/maps/place/?q=place_id:ChIJKfY2xZrD-DkRwUHILnfMHFw,part_332,2026-09-20 20:18:26,7604
Rita Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,N/A,N/A,3.5,,"4GHW+VPM, New Gopalpur, Payradanga, West Bengal 741247",New Gopalpur,23.129710499999998,88.54679519999999,ChIJI0SiNJvD-DkRadDza6PGwG8,https://www.google.com/maps/place/?q=place_id:ChIJI0SiNJvD-DkRadDza6PGwG8,part_332,2026-09-20 20:18:26,7605
Ma Durga Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,+91 76027 05224,N/A,2.0,,"Belgharia Main Rd, Pritinagar, Gopalpur, Payradanga, West Bengal 741247",Pritinagar,23.1261227,88.5470388,ChIJGfobU4XD-DkRLUS2QMFgrZc,https://www.google.com/maps/place/?q=place_id:ChIJGfobU4XD-DkRLUS2QMFgrZc,part_332,2026-09-20 20:18:26,7606
JEEBANDAN Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,+91 94744 82372,N/A,4.5,,"Gopalpur Road, Payradanga, West Bengal 741247",741247,23.1302134,88.5458367,ChIJ9yUSP5vD-DkRuBiDDG_fIIs,https://www.google.com/maps/place/?q=place_id:ChIJ9yUSP5vD-DkRuBiDDG_fIIs,part_332,2026-09-20 20:18:26,7607
Rina Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,741247,West Bengal Circle,Kolkata Region,Nadia South Division,Pritinagar SO,N/A,N/A,5.0,,"Ghosh, Jogpur Rd, Colony More, Ranaghat, West Bengal 741247",Colony More,23.1425576,88.53760919999999,ChIJjy3xwv7D-DkRDEN43HA0odg,https://www.google.com/maps/place/?q=place_id:ChIJjy3xwv7D-DkRDEN43HA0odg,part_332,2026-09-20 20:18:26,7608
