business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Parbati Variety Store,Kirana Store,Grocery store,Grocery store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,5.0,3.0,"GQC6+QV8, Unnamed Road, Odisha 754027",754027,20.5219059,85.76221199999999,ChIJyX9q-70bGToREexacszqFjs,https://www.google.com/maps/place/?q=place_id:ChIJyX9q-70bGToREexacszqFjs,part_339,2026-09-20 20:44:16,59669
SHREE HANUMAN VARIETY STORE,Kirana Store,Grocery store,Grocery store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 90405 21678,N/A,4.5,2.0,"CHAHATA NAGAR, Lane 4, Bidanasi, Kataka, Odisha 754027",Bidanasi,20.4934704,85.8431809,ChIJy4vytLkRGToRg1VDP8XLoMg,https://www.google.com/maps/place/?q=place_id:ChIJy4vytLkRGToRg1VDP8XLoMg,part_339,2026-09-20 20:44:16,59670
Jagabandhu Veriety Store,Kirana Store,General store,General store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,5.0,1.0,"Variety Store 12, College Rd, Khuntuni, Odisha 754297",754027,20.557186899999998,85.72930699999999,ChIJAeTjowQbGToRW36zQ3DFKBM,https://www.google.com/maps/place/?q=place_id:ChIJAeTjowQbGToRW36zQ3DFKBM,part_339,2026-09-20 20:44:16,59671
SAHOO VARIETY STORE,Kirana Store,Grocery store,Grocery store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 98615 95806,N/A,5.0,1.0,"Market, Bandalo, Odisha 754027",754027,20.550559399999997,85.876505,ChIJdQumu3ATGToRXGq_4du9LEk,https://www.google.com/maps/place/?q=place_id:ChIJdQumu3ATGToRXGq_4du9LEk,part_339,2026-09-20 20:44:16,59672
BHARASA VERITY STORE,Kirana Store,General store,General store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 80931 00208,N/A,5.0,1.0,"Railway Station, Hsjusdvjsishdb Ghantikhal, Odisha 754295",754027,20.511269199999997,85.7370411,ChIJjcQh9hsbGToR1rkj0t4nQzc,https://www.google.com/maps/place/?q=place_id:ChIJjcQh9hsbGToR1rkj0t4nQzc,part_339,2026-09-20 20:44:16,59673
CHEPU GROCERY SHOP,Kirana Store,Indian grocery store,Indian grocery store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.3,9.0,"HQ37+F2C, Odisha 754297",754027,20.5536831,85.7625047,ChIJ6z4xdNIbGToRctN1eggyIT8,https://www.google.com/maps/place/?q=place_id:ChIJ6z4xdNIbGToRctN1eggyIT8,part_339,2026-09-20 20:44:16,59674
BEURA GROCERY SHOP,Kirana Store,General store,General store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.3,6.0,"GPW6+VJ6, Dalabhaga, Odisha 754297",754027,20.5471641,85.7115266,ChIJa_OVw9AbGToRvJDcfvuYzBo,https://www.google.com/maps/place/?q=place_id:ChIJa_OVw9AbGToRvJDcfvuYzBo,part_339,2026-09-20 20:44:16,59675
sudhansu nayak,Kirana Store,General store,General store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 78468 52665,N/A,4.0,4.0,"near Rebati Dhaba, Kajalakana, Chaudwar, Kataka, Odisha 754027",Kajalakana,20.5238169,85.8728797,ChIJU8ouVFETGToRtENltouiZyM,https://www.google.com/maps/place/?q=place_id:ChIJU8ouVFETGToRtENltouiZyM,part_339,2026-09-20 20:44:16,59676
Kanha Variety Store,Kirana Store,General store,General store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 93385 83294,N/A,4.7,3.0,"Mancheswar, Odisha 754027",754027,20.5083327,85.8047488,ChIJfQAA4_YRGToRKo0MKgsiLA4,https://www.google.com/maps/place/?q=place_id:ChIJfQAA4_YRGToRKo0MKgsiLA4,part_339,2026-09-20 20:44:16,59677
AFC Mart,Kirana Store,Grocery store,Grocery store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.3,,"Gurudijhatia, Odisha 754028",754027,20.5642137,85.8063554,ChIJ86RMx64RGToRqiw0YlsXiZM,https://www.google.com/maps/place/?q=place_id:ChIJ86RMx64RGToRqiw0YlsXiZM,part_339,2026-09-20 20:44:16,59678
"Jenipur,Chasapada",Departmental Store,Supermarket,Supermarket,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.3,,"GV4G+QH2, Unnamed Road, Similihanda, Odisha 754027",754027,20.5068932,85.8764027,ChIJg14Zmz4TGToRvIK8gfq3624,https://www.google.com/maps/place/?q=place_id:ChIJg14Zmz4TGToRvIK8gfq3624,part_339,2026-09-20 20:44:16,59679
Deepak Verity Store,Provision Store,General store,General store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 73288 68332,N/A,,,"Verity Store 12, College Rd, Khuntuni, Rampei, Odisha 754297",754027,20.5571351,85.72929189999999,ChIJL7I82TMbGToRSCnH4uXJqeg,https://www.google.com/maps/place/?q=place_id:ChIJL7I82TMbGToRSCnH4uXJqeg,part_339,2026-09-20 20:44:16,59680
AMAN VERIETY store,Provision Store,General store,General store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,,,"CN-278(I, near National Law University, Sector 13, Kataka, Odisha 753015",Sector 13,20.4849335,85.7990214,ChIJK7NgVQARGToR4U2uItH6zmU,https://www.google.com/maps/place/?q=place_id:ChIJK7NgVQARGToR4U2uItH6zmU,part_339,2026-09-20 20:44:16,59681
PARVATI VARIETY STORE,Provision Store,Variety store,Variety store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,5.0,,"F5HV+CC5, Gopapur, Odisha 754207",754027,20.478516799999998,86.19360329999999,ChIJzaS_BTZ9GToRpc0C9sX9knE,https://www.google.com/maps/place/?q=place_id:ChIJzaS_BTZ9GToRpc0C9sX9knE,part_339,2026-09-20 20:44:16,59682
BriskHeal Solution,Organic Food Store,Health food store,"Health food store, Natural goods store",754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 82491 69354,N/A,5.0,6.0,"Tarini vihar, Bidanasi, Kataka, Odisha 753014","Tarini vihar, Bidanasi",20.4882338,85.8398733,ChIJD9VgwQqhGToRsH_yeB09JOs,https://www.google.com/maps/place/?q=place_id:ChIJD9VgwQqhGToRsH_yeB09JOs,part_339,2026-09-20 20:44:16,59683
CLASHAL INC.,Organic Food Store,Natural goods store,Natural goods store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 79785 48755,N/A,4.3,,"Plot No 138, CDA Sector-9, Kataka, Odisha 753014",CDA Sector-9,20.4791524,85.8294095,ChIJO-QQ078NGToRTPMjPd6fMio,https://www.google.com/maps/place/?q=place_id:ChIJO-QQ078NGToRTPMjPd6fMio,part_339,2026-09-20 20:44:18,59684
Asso Mutton Shop,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 97775 52288,N/A,2.8,,"FWWC+837, Nimpur Rd, Jagatpur Industrial Estate, Jagatpur, Odisha 754021",Jagatpur Industrial Estate,20.495794999999998,85.92017799999999,ChIJ7zWzILgSGToR6PLz9y5SmmU,https://www.google.com/maps/place/?q=place_id:ChIJ7zWzILgSGToR6PLz9y5SmmU,part_339,2026-09-20 20:44:18,59685
"Kakhadi, Odisha 754027",Rice and Grain Merchant,Postal code,Postal code,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,,,"Kakhadi, Odisha",754027,20.5056376,85.75641069999999,ChIJifZ-PlEQGToR-gynXk2mVLk,https://www.google.com/maps/place/?q=place_id:ChIJifZ-PlEQGToR-gynXk2mVLk,part_339,2026-09-20 20:44:18,59686
Ganesh Omfed Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 97770 47207,N/A,5.0,,"Khuntuni, Odisha 754297",754027,20.563283,85.72308989999999,ChIJ97LgQ0gbGToRRGBlUVsIPjE,https://www.google.com/maps/place/?q=place_id:ChIJ97LgQ0gbGToRRGBlUVsIPjE,part_339,2026-09-20 20:44:16,59687
Kalia Jena Grocery Store,General Store,Home goods store,Home goods store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 94370 15991,N/A,4.5,,"Gada Sahi, Athagarh, Odisha 754295",Gada Sahi,20.522469299999997,85.62954289999999,ChIJ67MrGc8dGToRYQUJWcK789I,https://www.google.com/maps/place/?q=place_id:ChIJ67MrGc8dGToRYQUJWcK789I,part_339,2026-09-20 20:44:18,59688
1 Bake Shop,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,https://1bakeshop.com/,4.9,,"FRRR+2HP, Matha Sahi, Chahta, Kataka, Odisha 753014","Matha Sahi, Chahta",20.490076,85.8414518,ChIJkdTKRQARGToR3kaQGDcEsoo,https://www.google.com/maps/place/?q=place_id:ChIJkdTKRQARGToR3kaQGDcEsoo,part_339,2026-09-20 20:44:18,59689
KANHAYA HOTAL & Restaurant,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.3,,"GVF6+7V4, Bhabadeipur, Odisha 754027",754027,20.5231378,85.8621904,ChIJB8L6NgATGToREZdH8ouV0sU,https://www.google.com/maps/place/?q=place_id:ChIJB8L6NgATGToREZdH8ouV0sU,part_339,2026-09-20 20:44:18,59690
Cookies The Cake Cafe,Bakery and Cake Shop,Restaurant,Restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 78940 02280,N/A,4.9,84.0,"Ward- 11, CMC, Plot No- 94/3819, C/o - Pravakar Mishra, At- Baimundi Marg, Dagarpada, Po-Chandini Chowk, Ps- Lalbagh, Holding No- 380, B/3, Kataka, Odisha 753002",Delushahi Colony,20.4733824,85.85189849999999,ChIJxZP4hTUTGToRvRpl-Gb89kM,https://www.google.com/maps/place/?q=place_id:ChIJxZP4hTUTGToRvRpl-Gb89kM,part_339,2026-09-20 20:44:18,59691
Tanmay Bakers,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 80937 67782,N/A,4.2,,"FWWJ+JX4, Vivekanand Marg, opp. Convent School, Manikhamb, Balasore, Gopalgoan, Odisha 756001",Manikhamb,21.4965247,86.93246479999999,ChIJyzk8daj1HDoRKOAbBYU7ItA,https://www.google.com/maps/place/?q=place_id:ChIJyzk8daj1HDoRKOAbBYU7ItA,part_339,2026-09-20 20:44:19,59692
Swasti Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,3.5,13.0,"MH5W+C5C, near Satya Mandap, Dhenkanal, Odisha 759001",754027,20.6585742,85.5955632,ChIJ-RWReADfGDoR7qnyL0jMu6E,https://www.google.com/maps/place/?q=place_id:ChIJ-RWReADfGDoR7qnyL0jMu6E,part_339,2026-09-20 20:44:20,59693
Hanuman Misthan Bhandar,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Vegetarian restaurant",754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 141 270 4995,N/A,4.0,1279.0,"Pragati Path, Khadi Colony, Ipsa, Bajaj Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302015","Khadi Colony, Ipsa, Bajaj Nagar",26.876832099999998,75.80204479999999,ChIJ_7LaZSu0bTkRbr7LATF91rM,https://www.google.com/maps/place/?q=place_id:ChIJ_7LaZSu0bTkRbr7LATF91rM,part_339,2026-09-20 20:44:20,59694
Jaleswar Sweet Stall And Travels,Sweet Stall / Mithai Shop,Hotel,Hotel,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.0,16.0,"VM6G+M97, Jiral-Mathakaragola Rd, Jiral, Odisha 759023",754027,20.8616527,85.67592259999999,ChIJ3aL_lrEoGToRyg62K_ilhnY,https://www.google.com/maps/place/?q=place_id:ChIJ3aL_lrEoGToRyg62K_ilhnY,part_339,2026-09-20 20:44:20,59695
Annapurna Bhojanalaya,Dhaba and Highway Restaurant,Dhaba,Dhaba,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,3.6,,"Sambalpur - Cuttack Hwy, Kapursingh, Kataka, Odisha 754297",Kapursingh,20.549588399999998,85.7836751,ChIJFRNLDlARGToRlnGQtwJnRP0,https://www.google.com/maps/place/?q=place_id:ChIJFRNLDlARGToRlnGQtwJnRP0,part_339,2026-09-20 20:44:19,59696
HOTEL DURGA MADHAB,Dhaba and Highway Restaurant,Restaurant,Restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,3.9,,"HP86+3QW, Khuntuni, Krushnashyampur, Odisha 754297",754027,20.565242599999998,85.7119507,ChIJT65uaWIZGToRjkHca5QdGwk,https://www.google.com/maps/place/?q=place_id:ChIJT65uaWIZGToRjkHca5QdGwk,part_339,2026-09-20 20:44:20,59697
Coffe Bar,Juice Center and Milkshake Bar,Coffee shop,Coffee shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.0,,"GRFG+948, Kandarpa Chaka, Kushpangi, National Highway 42, Odisha 754297",754027,20.5234201,85.825328,ChIJnSGmoQsRGToRna8e9oQ_8Ts,https://www.google.com/maps/place/?q=place_id:ChIJnSGmoQsRGToRna8e9oQ_8Ts,part_339,2026-09-20 20:44:19,59698
The Yellow Straw - Quest Mall,Juice Center and Milkshake Bar,Juice shop,"Juice shop, Health food store, Salad shop",754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 33 4815 6988,https://www.theyellowstraw.com/,4.6,109.0,"Quest Mall, Food Court, 33, Syed Amir Ali Ave, Park Circus, Ballygunge, Kolkata, West Bengal 700017","Park Circus, Ballygunge",22.5386088,88.365608,ChIJrZVdKgp3AjoRqXMy8HbmMlM,https://www.google.com/maps/place/?q=place_id:ChIJrZVdKgp3AjoRqXMy8HbmMlM,part_339,2026-09-20 20:44:19,59699
Sri Jambheswara Rajasthani Shuddha Shakhahari Bhojanalaya,Pure Veg Restaurant,Indian restaurant,Indian restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 81071 66329,N/A,4.2,394.0,"GRCJ+FRF, Jhatia, Odisha 754297",754027,20.5211839,85.8320382,ChIJz4FhwHURGToRAvXZscoqwlI,https://www.google.com/maps/place/?q=place_id:ChIJz4FhwHURGToRAvXZscoqwlI,part_339,2026-09-20 20:44:19,59700
Kalia Bhai Tea coffee and snacks,Tea Stall / Chai Cafe,Cafe,Cafe,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 82493 57592,http://kaliabhaiteacoffeandsnacks.com/,4.3,309.0,"near hp gas khuntuni, Khuntuni, Rampei, Odisha 754297",754027,20.5603241,85.7327608,ChIJR7-ZfGUbGToR82oXjGz6CHM,https://www.google.com/maps/place/?q=place_id:ChIJR7-ZfGUbGToR82oXjGz6CHM,part_339,2026-09-20 20:44:19,59701
Chai Mania,Tea Stall / Chai Cafe,Restaurant,Restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 94376 44617,N/A,5.0,2.0,"Mangalabag, Kataka, Odisha 753001",Mangalabag,20.472902599999998,85.88513909999999,ChIJ4XaJQQANGToRdKBcnAosxhk,https://www.google.com/maps/place/?q=place_id:ChIJ4XaJQQANGToRdKBcnAosxhk,part_339,2026-09-20 20:44:21,59702
Gharani Resturant,Non-Veg Biryani Restaurant,Family restaurant,Family restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 97770 62175,N/A,4.5,,"NH, Choudwar, Khuntuni, Radhadamodarpur, Odisha 754297",Choudwar,20.5567426,85.75042619999999,ChIJ5-lum-wbGToRq017FafvssE,https://www.google.com/maps/place/?q=place_id:ChIJ5-lum-wbGToRq017FafvssE,part_339,2026-09-20 20:44:19,59703
SWAAD DHABA (Taste Of India ),Non-Veg Biryani Restaurant,Family restaurant,Family restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 81449 70541,N/A,4.6,,"55, NH Puruso, tamapur, Odisha 754297",754027,20.5524293,85.7671192,ChIJOVkbMgARGToRrL9YbS2SCuU,https://www.google.com/maps/place/?q=place_id:ChIJOVkbMgARGToRrL9YbS2SCuU,part_339,2026-09-20 20:44:19,59704
Bhai-Bhai Hotel & Dhaba,Non-Veg Biryani Restaurant,Restaurant,Restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 63707 27893,N/A,4.2,,"GR79+GVQ, Nuapatana, Odisha 754027",754027,20.513828099999998,85.81974,ChIJ9VJNkDcRGToRu4wX4fzjfbo,https://www.google.com/maps/place/?q=place_id:ChIJ9VJNkDcRGToRu4wX4fzjfbo,part_339,2026-09-20 20:44:19,59705
Taste The Best,Non-Veg Biryani Restaurant,Restaurant,Restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.4,54.0,"Khuntuni, Mathurapur, Odisha 754297",754027,20.5681774,85.6974467,ChIJxYPobqEZGToRNqXO_X0T6ms,https://www.google.com/maps/place/?q=place_id:ChIJxYPobqEZGToRNqXO_X0T6ms,part_339,2026-09-20 20:44:20,59706
Shekhar Kabab and Tandoori,Non-Veg Biryani Restaurant,Takeout restaurant,Takeout restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.9,131.0,"Market square, CDA Sector VI, Kataka, Odisha 753014",CDA Sector VI,20.4804322,85.8370688,ChIJpTld0a8NGToR65TaeGrobpU,https://www.google.com/maps/place/?q=place_id:ChIJpTld0a8NGToR65TaeGrobpU,part_339,2026-09-20 20:44:20,59707
COFFEE BAR,Cafe and Coffee Shop,Coffee shop,Coffee shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 70086 64880,N/A,3.5,,"Nuapatna Choudwar, Kayalpada, Odisha 754027",754027,20.5185289,85.8206245,ChIJT2XYBMoRGToRf7p-VkE7LRg,https://www.google.com/maps/place/?q=place_id:ChIJT2XYBMoRGToRf7p-VkE7LRg,part_339,2026-09-20 20:44:20,59708
Kruti Coffee | Cuttack,Cafe and Coffee Shop,Cafe,Cafe,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,https://kruticoffee.com/pages/sec-09-cuttack,4.6,2447.0,"Plot No 2B, 113, State Bank Colony, Sec 09, Kataka, Odisha 753014","State Bank Colony, Sec 09",20.4797582,85.834119,ChIJJaQV8FIRGToREi1MWPQ7m_8,https://www.google.com/maps/place/?q=place_id:ChIJJaQV8FIRGToREi1MWPQ7m_8,part_339,2026-09-20 20:44:22,59709
Snowball Ice Cream,Ice Cream Parlour,Ice cream shop,Ice cream shop,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 98613 29511,N/A,5.0,16.0,"Snowball Ice Cream, Divyajyoti Complex, near Reliance Smart, Hatisalapada, Angul, Odisha 759106",Hatisalapada,20.8327043,85.08894749999999,ChIJUfhPG6ulGDoRCrC9hWWCS74,https://www.google.com/maps/place/?q=place_id:ChIJUfhPG6ulGDoRCrC9hWWCS74,part_339,2026-09-20 20:44:21,59710
Aama fast-food,Restaurant Chains,Fast food restaurant,Fast food restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 83288 62726,N/A,4.5,,"Nuasahi, kapaleshwar, Chaudwar, Odisha 754071",754027,20.5280171,85.9039811,ChIJkeJcLfETGToRayoo8h3pTxo,https://www.google.com/maps/place/?q=place_id:ChIJkeJcLfETGToRayoo8h3pTxo,part_339,2026-09-20 20:44:21,59711
ବରା ଦୋକାନ ଶୁଖିଲା ଆଳୁଚପ,Bar and Pub,Bar,Bar,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,5.0,,"FP8P+PM4, Nuagarh, Nuagada, Odisha 754295",754027,20.4666939,85.7366452,ChIJnTmDMaoFGToRWJH2JnqDopg,https://www.google.com/maps/place/?q=place_id:ChIJnTmDMaoFGToRWJH2JnqDopg,part_339,2026-09-20 20:44:20,59712
Lotus Dhaba & Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,4.6,,"GQXM+VRX, Kapursingh, Odisha 754297",Kapursingh,20.549733399999997,85.7845992,ChIJNQz8XykRGToRlt4ptjCtWFY,https://www.google.com/maps/place/?q=place_id:ChIJNQz8XykRGToRlt4ptjCtWFY,part_339,2026-09-20 20:44:21,59713
Hotel New Brindavan,Family Restaurant,Restaurant,Restaurant,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 73269 00265,N/A,3.8,,"Ghantikhala, Odisha 754295",754027,20.5173174,85.7360135,ChIJYz4O6_0bGToRDGTxQEIcgBA,https://www.google.com/maps/place/?q=place_id:ChIJYz4O6_0bGToRDGTxQEIcgBA,part_339,2026-09-20 20:44:21,59714
Sadabahar Fashion,Womens Ethnic Wear and Kurti,Manufacturer,"Manufacturer, Wholesaler, Women's clothing store",754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 83200 93827,http://sadabaharfashion.com/,4.8,,"Shop No. 13-14, patra ni chal (street, Rander Rd, near vijay garments, Ramnagar, Sima Nagar, Surat, Gujarat 395005","Ramnagar, Sima Nagar",21.2167361,72.7907097,ChIJO3llWTxM4DsRZ2vHZWv_B5c,https://www.google.com/maps/place/?q=place_id:ChIJO3llWTxM4DsRZ2vHZWv_B5c,part_339,2026-09-20 20:44:23,59715
Kaniyaro Occasional Ethnic,Womens Ethnic Wear and Kurti,Clothing manufacturer,"Clothing manufacturer, Clothing wholesaler, Designer Clothing Store, Men's clothing store, Tuxedo shop, Wedding store",754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 63569 35356,http://www.kaniyaro.com/,4.9,,"B/s. Lok Samrathan Press Building, New Silk Mills, 92, Dirgh Diamond, Ashwini Kumar Rd, Kabirwadi, B/h, Surat, Gujarat 395008","Kabirwadi, B/h, Kodiyar Nagar",21.214111499999998,72.8412173,ChIJff0F6HtP4DsRBJP4Pyf6ntY,https://www.google.com/maps/place/?q=place_id:ChIJff0F6HtP4DsRBJP4Pyf6ntY,part_339,2026-09-20 20:44:23,59716
Kitta Trendz,Womens Ethnic Wear and Kurti,Clothing manufacturer,"Clothing manufacturer, Clothing supplier, Clothing wholesaler",754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 97274 35822,https://tvelodesigner.com/kitta-trendz-india/,4.7,,"Shop no-420-25, Raghuvir platinum, Saroli, Surat, Gujarat 395010",Saroli,21.1895287,72.8952817,ChIJx5OOzsBP4DsRjXgh9QKuIfI,https://www.google.com/maps/place/?q=place_id:ChIJx5OOzsBP4DsRjXgh9QKuIfI,part_339,2026-09-20 20:44:23,59717
wastik LADIES & KIDS WEAR,Kids Wear Store,Clothing store,Clothing store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",N/A,N/A,,,"FV99+CX8, Jail Rd, Daragha Bazaar, Kataka, Odisha 753001",Daragha Bazaar,20.468529099999998,85.8699548,ChIJuzdpOYsNGToRFLV8rNF7rRc,https://www.google.com/maps/place/?q=place_id:ChIJuzdpOYsNGToRFLV8rNF7rRc,part_339,2026-09-20 20:44:21,59718
Shashikant and Co,Silver Jewellery Shop,Jewelry store,Jewelry store,754027,Odisha Circle,Bhubaneswar HQ Region,Cuttack South Division,"Chasapara S.O, Dhurusia B.O, Kakhadi B.O",+91 671 230 8499,N/A,4.6,7.0,"Naya Sarak Rd, Nimchouri, Kataka, Odisha 753002",Nimchouri,20.4640274,85.86545389999999,ChIJNfu6YvENGToRhAOigJXjzz8,https://www.google.com/maps/place/?q=place_id:ChIJNfu6YvENGToRhAOigJXjzz8,part_339,2026-09-20 20:44:23,59719
