business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sanjha Chulha Dhaba - CIT. ROAD - North Indian - Punjabi,North Indian Restaurant,Punjabi restaurant,"Punjabi restaurant, Family restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98308 78727,http://sanjhachulha.co.in/,4.1,,"Ladies Park, CIT Rd, Beniapukur, Kolkata, West Bengal 700014",Beniapukur,22.5483385,88.3710486,ChIJr9jOvuV2AjoR23-ATMDo86Y,https://www.google.com/maps/place/?q=place_id:ChIJr9jOvuV2AjoR23-ATMDo86Y,part_336,2026-09-20 20:17:31,793
"Rang De Basanti Dhaba & Bar, Diamond Plaza",North Indian Restaurant,North Indian restaurant,North Indian restaurant,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 90070 12322,http://www.rdbd.in/,4.6,,"DIAMOND PLAZA, Mall, Shyam Nagar, Satgachi, South Dumdum, Kolkata, West Bengal 700055","Shyam Nagar, Satgachi",22.6155008,88.4124399,ChIJOR-gYRue-DkR0VfzhCFe9u4,https://www.google.com/maps/place/?q=place_id:ChIJOR-gYRue-DkR0VfzhCFe9u4,part_336,2026-09-20 20:17:31,794
Palms Kitchen and Bar,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Bar, Coffee shop, Event venue, Wedding venue",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93102 05287,http://palmskitchenandbar.com/,4.6,,"Holiday Inn Express Kolkata Airport, 28, Jessore Rd, Airport, Dum Dum, NSCBI, Kolkata, West Bengal 700052","Airport, Dum Dum",22.6417666,88.43222589999999,ChIJOyL9igSf-DkRU8hK4GtuML0,https://www.google.com/maps/place/?q=place_id:ChIJOyL9igSf-DkRU8hK4GtuML0,part_336,2026-09-20 20:17:31,795
Jai Hind Dhaba,North Indian Restaurant,North Indian restaurant,North Indian restaurant,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 92305 08033,N/A,4.2,,"Oppo, Lakshmi Narayan Mondir, 41/1A, Sarat Bose Rd, Jadubabur Bazar, Bhowanipore, Kolkata, West Bengal 700020","Jadubabur Bazar, Bhowanipore",22.533150499999998,88.3530686,ChIJj7FAqyR3AjoRScZjx1_9yQ8,https://www.google.com/maps/place/?q=place_id:ChIJj7FAqyR3AjoRScZjx1_9yQ8,part_336,2026-09-20 20:17:31,796
"ROYAL'S MULTICUISINE - Restaurant in Naihati, Chinese restaurant in naihati, tandoor restaurant",North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Afghan restaurant, Awadhi Restaurant, Biryani restaurant, Chinese restaurant, Hakka restaurant, Indian restaurant, Mughlai restaurant, Rice restaurant, Wok restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 91233 28493,N/A,4.4,,"Kalyani cinema Hall, 11, Sanjib Chatterjee Rd, near Snowwhite and bandhan bank, Naihati, Kolkata, West Bengal 743165",Naihati,22.8864691,88.41582799999999,ChIJrWKNekiX-DkRJGYDJU4ityg,https://www.google.com/maps/place/?q=place_id:ChIJrWKNekiX-DkRJGYDJU4ityg,part_336,2026-09-20 20:17:31,797
Amantran Dhaba,North Indian Restaurant,Dhaba,"Dhaba, Bengali restaurant, Chinese restaurant, Family restaurant, Indian restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98303 65136,https://sites.google.com/view/amantrancatering/home,4.1,2040.0,"Moinagadi, Noapara, 5, Krishnanagar Rd, Barasat, Kolkata, West Bengal 700125",Barasat,22.746099899999997,88.4855084,ChIJF4h_NG2j-DkRaXTDgrnupkQ,https://www.google.com/maps/place/?q=place_id:ChIJF4h_NG2j-DkRaXTDgrnupkQ,part_336,2026-09-20 20:17:32,798
Peshawri -ITC Sonar,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Afghan restaurant, Indian restaurant, Kebab shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 33 2345 4545,https://www.itchotels.com/in/en/itcsonar-kolkata,4.5,1461.0,"1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046",Tangra,22.5444909,88.398123,ChIJVVVVlbt2AjoR4yhwCEwjoEw,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlbt2AjoR4yhwCEwjoEw,part_336,2026-09-20 20:17:32,799
Mehak-E-Punjab,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Bar, Chinese restaurant, Indian restaurant, Punjabi restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 84429 02485,N/A,4.0,4384.0,"4th Floor, Major Arterial Road(South-East), CF Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700107","CF Block(Newtown), Action Area I, Newtown",22.5793452,88.459887,ChIJbUTvfj11AjoRtfr_ZTkQKFo,https://www.google.com/maps/place/?q=place_id:ChIJbUTvfj11AjoRtfr_ZTkQKFo,part_336,2026-09-20 20:17:32,800
CANDLE INN RESTAURANT,North Indian Restaurant,Indian restaurant,Indian restaurant,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70030 99303,N/A,3.9,19.0,"21/21, Ghosh Para Rd, Banarjee Para, Shyamnagar, Bhatpara, West Bengal 743127","Banarjee Para, Shyamnagar",22.8328468,88.3820088,ChIJ5zf1JgCR-DkR8U9_dq4k_bE,https://www.google.com/maps/place/?q=place_id:ChIJ5zf1JgCR-DkR8U9_dq4k_bE,part_336,2026-09-20 20:17:33,801
99 The Multi Cuisine Restaurant,North Indian Restaurant,Continental restaurant,Continental restaurant,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98315 85263,N/A,4.0,1322.0,"Gulsan Plaza, Jasahar Road, Srijani Pally, Duttapukur, kolkata, Nebadhai Duttapukur, West Bengal 743248","Srijani Pally, Duttapukur",22.7641882,88.5533616,ChIJ44pyRnyj-DkRYHyATrmV8Z4,https://www.google.com/maps/place/?q=place_id:ChIJ44pyRnyj-DkRYHyATrmV8Z4,part_336,2026-09-20 20:17:33,802
Azad Hind Dhaba,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Dhaba, Family restaurant, Fast food restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 90513 13131,N/A,3.8,2305.0,"109, Diamond Harbour Rd, Beside Bharat Petrol Pump, Kadamtala, Jagadish Para, Silpara, Purba Barisha, Kolkata, West Bengal 700063","Beside Bharat Petrol Pump, Kadamtala, Jagadish Para, Silpara, Purba Barisha",22.473270499999998,88.31012869999999,ChIJBxc08GN6AjoRZIC1n6RQ59U,https://www.google.com/maps/place/?q=place_id:ChIJBxc08GN6AjoRZIC1n6RQ59U,part_336,2026-09-20 20:17:33,803
Hakkaland Restaurant Cum Bar,North Indian Restaurant,Restaurant,"Restaurant, Asian restaurant, Chinese restaurant, Family restaurant, Thai restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 86977 78899,N/A,4.0,355.0,"5th Floor, STAR MALL, Jessore Rd, Sisir Kunja, Madhyamgram, West Bengal 700129","Sisir Kunja, Madhyamgram",22.7030075,88.4717483,ChIJJ29BmiCf-DkRgEK6Prvf7h8,https://www.google.com/maps/place/?q=place_id:ChIJJ29BmiCf-DkRgEK6Prvf7h8,part_336,2026-09-20 20:17:33,804
Awesome Khana,North Indian Restaurant,Indian restaurant,"Indian restaurant, Restaurant, Mughlai restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98303 89870,https://awesomekhana.com/,3.6,592.0,"PF9P+M6F Chamapdali More, Lorry Stand, 3, Jessore Rd, near Old opp. I-Core Planet, Champadali, Gupta Colony, Banamalipur, Kolkata, West Bengal 700124","Champadali, Gupta Colony, Banamalipur",22.7193486,88.4855844,ChIJn72GggWi-DkRgCOsB2jOz-s,https://www.google.com/maps/place/?q=place_id:ChIJn72GggWi-DkRgCOsB2jOz-s,part_336,2026-09-20 20:17:33,805
Zaairah Dine & Lounge,North Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Chinese restaurant, Thai restaurant",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 62921 16140,N/A,4.0,1438.0,"EC 18, EC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","EC Block, Sector 1, Bidhannagar",22.587095299999998,88.4084689,ChIJ5YXKibx1AjoRMnMyC2KjnPE,https://www.google.com/maps/place/?q=place_id:ChIJ5YXKibx1AjoRMnMyC2KjnPE,part_336,2026-09-20 20:17:33,806
Food & Mocktail,North Indian Restaurant,Restaurant,Restaurant,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 90515 27698,http://www.foodandmocktail.in/,4.4,71.0,"Anandamath, Ichhapur Defence Estate, North Barrackpur, West Bengal 743144",Anandamath,22.7983866,88.3764327,ChIJsbpkWCKb-DkRey5yj3DahgI,https://www.google.com/maps/place/?q=place_id:ChIJsbpkWCKb-DkRey5yj3DahgI,part_336,2026-09-20 20:17:33,807
Urban Masala,North Indian Restaurant,Vegetarian restaurant,Vegetarian restaurant,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 89613 33314,N/A,4.1,1420.0,"882, Lake Town Rd, Block A, Lake Town, South Dumdum, West Bengal 700089","Block A, Lake Town",22.606482099999997,88.40271279999999,ChIJpT8Ligd1AjoRW_wczfNgssQ,https://www.google.com/maps/place/?q=place_id:ChIJpT8Ligd1AjoRW_wczfNgssQ,part_336,2026-09-20 20:17:33,808
