business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
B M TAX SOLUTION Babla Mondal,Tax and GST Consultant,Tax consultant,"Tax consultant, Financial advisor, Health insurance agency, Income tax help association, Insurance broker, Tax attorney, Tax preparation service",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90070 23980,https://www.bmtaxsolution.in/,4.9,176.0,"Chandpara - Thakurnagar Rd, Saheb Bagan, Dhakuria, Chandpara, West Bengal 743245",Saheb Bagan,22.9665581,88.7816069,ChIJs4pqRDK1-DkRGPSKLxT7yNA,https://www.google.com/maps/place/?q=place_id:ChIJs4pqRDK1-DkRGPSKLxT7yNA,part_335,2026-09-20 20:18:01,5311
Madhab Das & Associates,Tax and GST Consultant,Tax consultant,"Tax consultant, Accounting firm",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,10.0,"Gangajoara, Panchpota, Kolkata, West Bengal 700150","Gangajoara, Panchpota",22.463919,88.4470259,ChIJ1cTe3udzAjoRHpzZ_Qp5-Bk,https://www.google.com/maps/place/?q=place_id:ChIJ1cTe3udzAjoRHpzZ_Qp5-Bk,part_335,2026-09-20 20:18:01,5312
Jaiswal & Singh Associates,Tax and GST Consultant,Accounting firm,"Accounting firm, Chartered accountant, Cost accounting service, Tax preparation, Tax preparation service",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 91137 65304,https://jaiswal-singh-associates.grexa.site/,5.0,10.0,"70/18/1, near Doctor Bagan Gate, Noapara, New Nawpara, Baranagar, Kolkata, Baranagar, West Bengal 700090","Noapara, New Nawpara, Baranagar",22.643487099999998,88.3929619,ChIJG8XM9o6d-DkRIyQaULLwXz8,https://www.google.com/maps/place/?q=place_id:ChIJG8XM9o6d-DkRIyQaULLwXz8,part_335,2026-09-20 20:18:01,5313
BISWAS CONSULTANCY SERVICE,Tax and GST Consultant,Tax preparation service,Tax preparation service,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 86973 07807,N/A,5.0,3.0,"Naskarpara, Narayanpur, Jibantala, West Bengal 743363",Naskarpara,22.3995525,88.5464346,ChIJRz0k78ETAjoR9XDL8PoEyQ8,https://www.google.com/maps/place/?q=place_id:ChIJRz0k78ETAjoR9XDL8PoEyQ8,part_335,2026-09-20 20:18:01,5314
"Taxwise Solution । GST,Income Tax and Accounting Services",Tax and GST Consultant,Tax consultant,"Tax consultant, Service establishment",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://taxwisesolution.net/,,,"Taxwise Solution । GST,Income Tax and Accounting Services, 743330, India",743330,22.5354274,88.3473528,ChIJQTbtxMYk24ARPciGsMkneto,https://www.google.com/maps/place/?q=place_id:ChIJQTbtxMYk24ARPciGsMkneto,part_335,2026-09-20 20:18:01,5315
GST SUVIDHA KENDRA,Tax and GST Consultant,Tax consultant,"Tax consultant, Corporate office",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 120 686 0789,https://gstsuvidhakendra.org.in/,,,"Bodra, Noapara, Bodra, West Bengal 743502",Bodra,22.4510979,88.6084599,ChIJZT4t6rUPAjoRNx1D6vS3-Ak,https://www.google.com/maps/place/?q=place_id:ChIJZT4t6rUPAjoRNx1D6vS3-Ak,part_335,2026-09-20 20:18:01,5316
Income Tax & GST Consultant,Tax and GST Consultant,Tax collector's office,Tax collector's office,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,1.0,"Dakshin, Basanti Hwy, Kalikapur, Ghatakpukur, West Bengal 743502",743330,22.5012878,88.6108964,ChIJg83c7FsPAjoRYHE-TyU671c,https://www.google.com/maps/place/?q=place_id:ChIJg83c7FsPAjoRYHE-TyU671c,part_335,2026-09-20 20:18:01,5317
Taxcraft [ GST-Income Tax-Trade License ],Tax and GST Consultant,Tax consultant,"Tax consultant, Chartered accountant",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,1.0,"Batbaria, Ghola Road, Banshra, West Bengal 743363",743330,22.3606826,88.56408979999999,ChIJMXmf4XsRAjoRVto1yzKcoDg,https://www.google.com/maps/place/?q=place_id:ChIJMXmf4XsRAjoRVto1yzKcoDg,part_335,2026-09-20 20:18:01,5318
TAXMAN,Tax and GST Consultant,Tax consultant,"Tax consultant, Income tax help association, Tax assessor, Tax collector's office, Tax attorney, Tax preparation",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,http://taxman.org.in/,5.0,16.0,"Post Office Rd, Habra, West Bengal 743271",743330,22.8434031,88.6567883,ChIJs-Szqgux-DkR3sdzLjUSkbk,https://www.google.com/maps/place/?q=place_id:ChIJs-Szqgux-DkR3sdzLjUSkbk,part_335,2026-09-20 20:18:01,5319
Tax Con,Tax and GST Consultant,Tax consultant,Tax consultant,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,,,"Madarat, Baruipur, Baruipur P, West Bengal 743610",Madarat,22.3635953,88.4440225,ChIJX4x92-htAjoRdH9C3OS_xLI,https://www.google.com/maps/place/?q=place_id:ChIJX4x92-htAjoRdH9C3OS_xLI,part_335,2026-09-20 20:18:01,5320
