business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Yogsamriddhi,Yoga Center,Yoga studio,Yoga studio,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,4.9,232.0,"Road, Ramchandrapur, Rajpur Sonarpur, Narayanpur, West Bengal 700150",Ramchandrapur,22.432526799999998,88.46214599999999,ChIJCxmi2tVzAjoRXaCRHjkFJQ0,https://www.google.com/maps/place/?q=place_id:ChIJCxmi2tVzAjoRXaCRHjkFJQ0,part_335,2026-09-20 20:17:41,2310
Yog-Maantra - Personal Yoga Teacher at Home,Yoga Center,Fitness center,"Fitness center, Yoga instructor",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 86172 30982,https://yogmaantra.grexa.site/,5.0,15.0,"nearby Address:, Block B, Chowhati, Rajpur, Rajpur Sonarpur, West Bengal 700148","Block B, Chowhati, Rajpur",22.408803799999998,88.4122278,ChIJh6jQ7RdtAjoRBZjX6AU5Uag,https://www.google.com/maps/place/?q=place_id:ChIJh6jQ7RdtAjoRBZjX6AU5Uag,part_335,2026-09-20 20:17:41,2311
Therapeutic Exercise & Yoga Centre,Yoga Center,Yoga studio,"Yoga studio, Dance school, Dietitian, Drawing lessons, Massage spa, Music instructor, Physiotherapy Center, Special educator, Vocal Instructor, Women's personal trainer",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://m.facebook.com/profile.php?id=1998226390428426&ref=content_filter,4.9,280.0,"425, Aghore Sarani,barendrapara, more, Rajpur Sonarpur, Kolkata, West Bengal 700149","Mission Pally, Narendrapur",22.4331122,88.4210935,ChIJfy8hrXJyAjoRmWgyePCA2TE,https://www.google.com/maps/place/?q=place_id:ChIJfy8hrXJyAjoRmWgyePCA2TE,part_335,2026-09-20 20:17:41,2312
FUTURE DREAMS ACADEMY,Yoga Center,Tutoring service,"Tutoring service, Cultural center, Yoga studio",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 97494 22820,N/A,4.9,35.0,"Kalikapur Rd, Chakbaria, Tematha, khalpar, Sonarpur, West Bengal 743330","Chakbaria, Tematha, khalpar",22.423976399999997,88.5049483,ChIJG4AsuQINAjoRMvPi6H60DCw,https://www.google.com/maps/place/?q=place_id:ChIJG4AsuQINAjoRMvPi6H60DCw,part_335,2026-09-20 20:17:41,2313
MUKTI YOGA CENTRE,Yoga Center,Yoga instructor,Yoga instructor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,,,"Shitala more, East, Ghasiara, Rajpur Sonarpur, West Bengal 700150","East, Ghasiara",22.4384254,88.44870759999999,ChIJwUegO0tzAjoRQqsrfOimSgw,https://www.google.com/maps/place/?q=place_id:ChIJwUegO0tzAjoRQqsrfOimSgw,part_335,2026-09-20 20:17:41,2314
Vedic Yog Peeth Sonarpur Branch,Yoga Center,Yoga instructor,Yoga instructor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,98.0,"158, Aghore Sarani Barendrapara, More, Mission Pally, Rajpur Sonarpur, Kolkata, West Bengal 700149","Mission Pally, Narendrapur",22.4330651,88.4211081,ChIJIe9ToHdzAjoRX7as4Ac1TcA,https://www.google.com/maps/place/?q=place_id:ChIJIe9ToHdzAjoRX7as4Ac1TcA,part_335,2026-09-20 20:17:41,2315
2nd Heart Yoga and Physiotherapy,Yoga Center,Yoga studio,Yoga studio,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62906 57643,http://www.2ndheartyoga.com/,4.8,74.0,"Milan Pally, Rajpur Sonarpur, Kolkata, West Bengal 700150",Milan Pally,22.43763,88.4338684,ChIJabcHm8FzAjoRSizwmbcns0E,https://www.google.com/maps/place/?q=place_id:ChIJabcHm8FzAjoRSizwmbcns0E,part_335,2026-09-20 20:17:41,2316
Yoga & Physio Therapy Center ( Home Service Available ),Yoga Center,Physiotherapist,Physiotherapist,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 82406 01688,N/A,,,"Rajpur Sonarpur, Kolkata, West Bengal 700147",743330,22.405899899999998,88.4431795,ChIJVSi6T_FtAjoRNbK96mDr0BQ,https://www.google.com/maps/place/?q=place_id:ChIJVSi6T_FtAjoRNbK96mDr0BQ,part_335,2026-09-20 20:17:41,2317
Shanti Path,Yoga Center,Yoga instructor,Yoga instructor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 97484 68933,N/A,5.0,27.0,"Vivekananda Pally, near Sonarpur Town club, Arabinda Nagar, Kolkata, Rajpur Sonarpur, West Bengal 700150",Arabinda Nagar,22.4416764,88.4404182,ChIJvRIJ8hFzAjoReYGtoWdHzpU,https://www.google.com/maps/place/?q=place_id:ChIJvRIJ8hFzAjoReYGtoWdHzpU,part_335,2026-09-20 20:17:41,2318
"Nature Cure & Yoga Centre, Joka, Kolkata: Naturopathy, Ayurveda, Physiotherapy, Acupuncture, Wellness, Natural Healing",Yoga Center,Yoga Retreat Center,"Yoga Retreat Center, Acupuncture clinic, Health resort, Meditation center, Naturopathic practitioner, Wellness center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 33 2453 3880,https://naturecure.in/,4.6,252.0,"and, Diamond Harbour Road, Konchowki, PO, PS:, Joka, Bishnupur, Kolkata, West Bengal 743503",Joka,22.421023899999998,88.2828914,ChIJ2yidyCp7AjoR-Q_EPcrnZ6E,https://www.google.com/maps/place/?q=place_id:ChIJ2yidyCp7AjoR-Q_EPcrnZ6E,part_335,2026-09-20 20:17:41,2319
WILD IRON - Ultimate Fitness Hub,Yoga Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 89187 23822,https://sites.google.com/view/wildiron01,5.0,51.0,"Champahati Railway Station Road, Champahati, West Bengal 743330",Champahati,22.401289199999997,88.49178739999999,ChIJNyveTrYTAjoRpCgQMo96j5o,https://www.google.com/maps/place/?q=place_id:ChIJNyveTrYTAjoRpCgQMo96j5o,part_335,2026-09-20 20:17:41,2320
PRO-FITNESS STUDIO,Yoga Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://www.instagram.com/profitnessstudio25?igsh=OTNuZ2t4aGFzdmti&utm_source=qr,5.0,30.0,"Tematha, Champahati - Ghatakpukur Rd, Chakbaria, Kolkata, West Bengal 743330",Chakbaria,22.4220732,88.5047941,ChIJ0cnAeR4TAjoRH2BxgIECAlo,https://www.google.com/maps/place/?q=place_id:ChIJ0cnAeR4TAjoRH2BxgIECAlo,part_335,2026-09-20 20:17:41,2321
ATHLEFIT STUDIO,Yoga Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70033 92067,N/A,5.0,42.0,"Sonarpur Chakbaria Rd, Chakbaria, Kalikapur, Rajpur Sonarpur, West Bengal 743330",Chakbaria,22.424824599999997,88.4975867,ChIJrf7AuRMNAjoRkxjrAKx_3Sg,https://www.google.com/maps/place/?q=place_id:ChIJrf7AuRMNAjoRkxjrAKx_3Sg,part_335,2026-09-20 20:17:41,2322
MATANGINI YOGA CENTRE,Yoga Center,Yoga instructor,Yoga instructor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98328 14313,https://matanginiyogacentre.com/,5.0,25.0,"X6H4+888, Sitarampur, West Bengal 743374",743330,21.9782619,88.2057726,ChIJi7k5aABXAjoR7DEjiPGvWdU,https://www.google.com/maps/place/?q=place_id:ChIJi7k5aABXAjoR7DEjiPGvWdU,part_335,2026-09-20 20:17:41,2323
Paincure,Yoga Center,Physiotherapy Center,Physiotherapy Center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62898 29706,N/A,5.0,35.0,"Nayber more, Madarat, Baruipur, Baruipur P, West Bengal 743610",Madarat,22.3614674,88.4542584,ChIJiV1fXkdtAjoRe-mHyTmwhPA,https://www.google.com/maps/place/?q=place_id:ChIJiV1fXkdtAjoRe-mHyTmwhPA,part_335,2026-09-20 20:17:41,2324
Fervid Fitness,Yoga Center,Fitness center,Fitness center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,4.9,37.0,"near Pragati Sangha Club, Station Pally, Masterpara, Subuddhipur, Baruipur, West Bengal 700144","Station Pally, Masterpara, Subuddhipur",22.3677855,88.4324316,ChIJw4c8NTdtAjoRgML2P-moPQU,https://www.google.com/maps/place/?q=place_id:ChIJw4c8NTdtAjoRgML2P-moPQU,part_335,2026-09-20 20:17:41,2325
Prakash Fitness House | Personal Trainer | In Baruipur,Yoga Center,Personal trainer,"Personal trainer, Fitness center, Gym, Vitamin & supplements store",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 72783 00631,https://trainer-prakash-dasgym.grexa.site/,4.9,300.0,"opposite of Madarat Purba F P School (Primary school, Baruipur, Baruipur P, West Bengal 743610",743330,22.362828,88.4480628,ChIJM9Ste7dtAjoR4_U7MrPgL7w,https://www.google.com/maps/place/?q=place_id:ChIJM9Ste7dtAjoR4_U7MrPgL7w,part_335,2026-09-20 20:17:41,2326
New life yoga centre,Yoga Center,Yoga instructor,Yoga instructor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,1.0,"VQ93+43, Nakpul, West Bengal 743252",743330,22.8678739,88.7526433,ChIJvZs6XgCz-DkR8-KNG9fpbv4,https://www.google.com/maps/place/?q=place_id:ChIJvZs6XgCz-DkR8-KNG9fpbv4,part_335,2026-09-20 20:17:41,2327
Fitness Freak,Yoga Center,Yoga studio,"Yoga studio, Astrologer, Karate school, Physiotherapy Center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 80172 24853,N/A,4.8,12.0,"Ghasiara, Rajpur Sonarpur, West Bengal 700150",Ghasiara,22.4402184,88.4442792,ChIJD12a6o5zAjoRvmkkZSJfm1s,https://www.google.com/maps/place/?q=place_id:ChIJD12a6o5zAjoRvmkkZSJfm1s,part_335,2026-09-20 20:17:41,2328
SIKARI BROTHERS KARATE MARTIAL ARTS ACADEMY OF SEISHINKAI,Yoga Center,Fitness center,"Fitness center, Martial arts school, Karate club, Karate school, Self defense school, Sports school, Yoga instructor",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70293 84294,https://surveyheart.com/form/65b14fc4a3d5b25fefa53844,5.0,15.0,"Baze Haral Road, Champahati, Haral, West Bengal 743330",Champahati,22.3925418,88.4885156,ChIJYefWtvkTAjoRZ5lHmHUJUIY,https://www.google.com/maps/place/?q=place_id:ChIJYefWtvkTAjoRZ5lHmHUJUIY,part_335,2026-09-20 20:17:41,2329
VEDA YOGA & MEDITATION STUDIO,Yoga Center,Yoga studio,"Yoga studio, Meditation center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 82400 50982,N/A,5.0,,"10, James Long Sarani, near D.M Hospital, Gournagar, Thakurpukur, Kolkata, West Bengal 700063","Gournagar, Thakurpukur",22.466378499999998,88.3109338,ChIJHdkPXFZ7AjoRW574ISScdAI,https://www.google.com/maps/place/?q=place_id:ChIJHdkPXFZ7AjoRW574ISScdAI,part_335,2026-09-20 20:17:42,2330
Healthy Minds Yoga Studio,Yoga Center,Yoga studio,Yoga studio,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70034 25147,N/A,4.7,,"129, Kalikapur Main Rd, Purbapally, Borakhola, Kalikapur, Santoshpur, Kolkata, West Bengal 700075","Purbapally, Borakhola, Kalikapur, Santoshpur",22.501942399999997,88.399485,ChIJs8khTP1xAjoR6hkRwwJNQME,https://www.google.com/maps/place/?q=place_id:ChIJs8khTP1xAjoR6hkRwwJNQME,part_335,2026-09-20 20:17:42,2331
Yoga & Happiness -Best Yoga Teachers Training Institute,Yoga Center,Yoga studio,"Yoga studio, Meditation Class, Personal trainer, Retreat center, Yoga instructor, Yoga Retreat Center, Educational institution",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98830 61986,https://yogaandhappiness.in/yoga-classes/,5.0,,"24E, Police Station Regent Park, Ghosh Para Shitala Mandir, 1, MN Sen Ln, near Nanu Babu Bazer, Ashok Nagar, Tollygunge, Kolkata, West Bengal 700040","Ashok Nagar, Tollygunge",22.4860775,88.34368099999999,ChIJ8ZVSR8r9-DkRSs2H7Bxp4tI,https://www.google.com/maps/place/?q=place_id:ChIJ8ZVSR8r9-DkRSs2H7Bxp4tI,part_335,2026-09-20 20:17:42,2332
Fit Version of Life (Yoga Centre),Yoga Center,Yoga studio,Yoga studio,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 91230 84059,http://www.fitversionoflife.com/,5.0,,"near Subhash Maidan, Laxmi Narayan Colony, Chkravartipara, Barasat, Kolkata, West Bengal 700126","Laxmi Narayan Colony, Chkravartipara, Barasat",22.723107,88.4776432,ChIJhZVhfI-Z-DkRY9LLf0q_v90,https://www.google.com/maps/place/?q=place_id:ChIJhZVhfI-Z-DkRY9LLf0q_v90,part_335,2026-09-20 20:17:42,2333
𝐘𝐨𝐠𝐚 𝐒𝐚𝐦𝐚𝐝𝐡𝐚𝐧 | Best yoga classes in kolkata,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Health consultant, Meditation center, Physiotherapy Center, Weight loss service, Wellness center, Yoga instructor",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90020 02959,https://www.yogasamadhan.com/,4.8,,"33, Brojendra Ganguly Ln, Tollygunge, Kolkata, West Bengal 700033",Tollygunge,22.505265599999998,88.3441151,ChIJP8gZFhRxAjoRKUh6PFu3hNI,https://www.google.com/maps/place/?q=place_id:ChIJP8gZFhRxAjoRKUh6PFu3hNI,part_335,2026-09-20 20:17:42,2334
Suswasthya Yoga and Wellness Center । Yoga Class । Online Yoga Class । Yoga Classes at Home | Counselling | Special Educator,Yoga Center,Yoga Retreat Center,"Yoga Retreat Center, Yoga instructor, Yoga studio",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98833 82672,https://suswasthyayogikwellness.com/,4.9,,"Jenes, James Long Sarani, Satyen Park, Joka, Purba Barisha, West Bengal 700104","Satyen Park, Joka",22.456815199999998,88.3080889,ChIJ_8NrdJJ6AjoRcQAHZVabwe8,https://www.google.com/maps/place/?q=place_id:ChIJ_8NrdJJ6AjoRcQAHZVabwe8,part_335,2026-09-20 20:17:42,2335
THE YOGA TRAVELER,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Meditation center, Meditation Class, Physical fitness program, Training center, Wellness center, Wellness program, Yoga instructor, Yoga Retreat Center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98363 79933,https://theyogatraveler.com/,5.0,,"Chowmatha Municipality, 1/A, Balai Mondal Sarani, near Madhyamgram, Basunagar, Madhyamgram, Kolkata, West Bengal 700129","Basunagar, Madhyamgram",22.6933735,88.46482329999999,ChIJTd7AKIOf-DkRVgu57Nli910,https://www.google.com/maps/place/?q=place_id:ChIJTd7AKIOf-DkRVgu57Nli910,part_335,2026-09-20 20:17:42,2336
𝐓𝐡𝐞 𝐕𝐢𝐤𝐬𝐢𝐭 𝐉𝐢𝐯𝐚𝐧 II Yoga II Physiotherapy II Rehabilitation,Yoga Center,Yoga studio,"Yoga studio, Coaching Center, Physiotherapy Center, Rehabilitation center, Retreat center, Studying center, Wellness center, Wellness program, Yoga instructor, Yoga Retreat Center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://www.theviksitjivan.com/,4.9,,"1st Floor, The Viksit Jivan, 293/2, Banku Bihari Chatterjee Rd, beside Kasba Post Office, Rath Tala, Kasba, Kolkata, West Bengal 700042","Rath Tala, Kasba",22.518779499999997,88.3749867,ChIJv6P-j0YJAjoRkFvchd3V6J0,https://www.google.com/maps/place/?q=place_id:ChIJv6P-j0YJAjoRkFvchd3V6J0,part_335,2026-09-20 20:17:42,2337
Baruipur Physical Training Academy,Yoga Center,Physical fitness program,Physical fitness program,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 93305 87518,http://youtube.com/baruipurPhysicalTrainingAcademy,4.9,,"Nayeber More, Baruipur, Baruipur P, West Bengal 743610",743330,22.360861999999997,88.45429589999999,ChIJKyZ7zM9tAjoRPlAYPOPZkJU,https://www.google.com/maps/place/?q=place_id:ChIJKyZ7zM9tAjoRPlAYPOPZkJU,part_335,2026-09-20 20:17:43,2338
aum school of yog,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Meditation center, Yoga instructor",743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 99328 29419,https://sites.google.com/view/aumschoolofyog,5.0,,"College Rd, Naiya Para, Diamond Harbour, West Bengal 743331",Naiya Para,22.1988391,88.1800267,ChIJ_amZ3ypfAjoRa9sF74BNTRs,https://www.google.com/maps/place/?q=place_id:ChIJ_amZ3ypfAjoRa9sF74BNTRs,part_335,2026-09-20 20:18:25,7617
Diamond Harbour Multi Gym,Yoga Center,Yoga studio,Yoga studio,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,3.9,,"55VV+H47, Hatuganj, Diamond Harbour, West Bengal 743331",Hatuganj,22.1939247,88.19281149999999,ChIJAfePXrtfAjoRowGUNpw9KM8,https://www.google.com/maps/place/?q=place_id:ChIJAfePXrtfAjoRowGUNpw9KM8,part_335,2026-09-20 20:18:25,7618
Diamond Muktangan,Yoga Center,Yoga Retreat Center,Yoga Retreat Center,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,5.0,,"658M+CF4, Diamond Harbour Riverside, Diamond Harbour, Mohanpur, West Bengal 743368",743331,22.216008,88.18370399999999,ChIJ3S3JXQBfAjoRfqvaZ1C0BoI,https://www.google.com/maps/place/?q=place_id:ChIJ3S3JXQBfAjoRfqvaZ1C0BoI,part_335,2026-09-20 20:18:25,7619
Barnali physiotherapy Yoga massage therapy,Yoga Center,Yoga instructor,Yoga instructor,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 75013 53052,N/A,5.0,,"CI Goli, New Town, Kapat Hat, Diamond Harbour, West Bengal 743331","New Town, Kapat Hat",22.2033973,88.1867536,ChIJT6qGOmxfAjoRmHVRWVcHNls,https://www.google.com/maps/place/?q=place_id:ChIJT6qGOmxfAjoRmHVRWVcHNls,part_335,2026-09-20 20:18:25,7620
Haldia Yoga Therapy and Education Centre,Yoga Center,Yoga studio,Yoga studio,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 89001 61877,N/A,5.0,,"44C6+M27, Sutahata, West Bengal 721635",743331,22.1215825,88.1099067,ChIJGT1pAAD3AjoRzp60EmYL8U0,https://www.google.com/maps/place/?q=place_id:ChIJGT1pAAD3AjoRzp60EmYL8U0,part_335,2026-09-20 20:18:25,7621
RK GYM & YOGA,Yoga Center,Gym,Gym,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,3.8,,"Diamond Harbour Rd, Sarisha 246 More, Sarisha Hat, Sarisha, West Bengal 743368","Sarisha 246 More, Sarisha Hat",22.2489304,88.185481,ChIJ97p2FNdhAjoRxxewDJiRlro,https://www.google.com/maps/place/?q=place_id:ChIJ97p2FNdhAjoRxxewDJiRlro,part_335,2026-09-20 20:18:25,7622
